dt_created,dt_updated,dt_filename,advertiser_id,country_name,insertion_order_name,insertion_order_id,unique_reach_total_reach,unique_reach_click_reach,unique_reach_impression_reach,impressions,unique_reach_average_impression_frequency,fetch_date
2024-11-27T02:09:46.830000,2024-11-27T02:09:54.887000,ad.csv,0,IN,adsdd,1018682454,978088,24891,978088,3699018,3.78,27-11-2024
2024-11-27T02:09:46.830000,2024-11-27T02:09:54.887000,ad.csv,0,IN,adsdd,1018754544,246334,1159,246214,769905,3.13,27-11-2024
2024-11-27T02:09:46.830000,2024-11-27T02:09:54.887000,ad.csv,0,IN,adsdd,1017743009,1145579,15511,1145533,2222275,1.94,27-11-2024
2024-11-27T02:09:46.830000,2024-11-27T02:09:54.887000,ad.csv,0,IN,adsdd,1018103671,486511,6024,486509,977123,2.01,27-11-2024
2024-11-27T02:09:46.830000,2024-11-27T02:09:54.887000,ad.csv,0,IN,adsdd,1017941108,692579,16643,692579,3186422,4.6,27-11-2024
2024-11-28T02:08:23.730000,2024-11-28T02:08:33.913000,ad.csv,0,IN,adsdd,1017779046,348064,4268,348064,571405,1.64,28-11-2024
2024-11-28T02:08:23.730000,2024-11-28T02:08:33.913000,ad.csv,0,IN,adsdd,1018682457,757978,19210,757978,2795774,3.69,28-11-2024
2024-11-28T02:08:23.730000,2024-11-28T02:08:33.913000,ad.csv,0,IN,adsdd,1018103671,483635,5937,483633,962798,1.99,28-11-2024
2024-11-28T02:08:23.730000,2024-11-28T02:08:33.913000,ad.csv,0,IN,adsdd,1018755402,222931,1100,222879,758627,3.4,28-11-2024
2024-11-28T02:08:23.730000,2024-11-28T02:08:33.913000,ad.csv,0,IN,adsdd,1018756985,910390,404,910390,2905688,3.19,28-11-2024
2024-11-28T02:08:23.730000,2024-11-28T02:08:33.913000,ad.csv,0,IN,adsdd,1017941108,687427,16465,687427,3114085,4.53,28-11-2024
2024-11-28T02:08:23.730000,2024-11-28T02:08:33.913000,ad.csv,0,IN,adsdd,1017742994,684445,5104,684408,1276786,1.87,28-11-2024
